#GENE PRODUCT DB	GENE PRODUCT ID	SYMBOL	QUALIFIER	GO TERM	GO NAME	ECO ID	GO EVIDENCE CODE	REFERENCE	WITH/FROM	TAXON ID	ASSIGNED BY	ANNOTATION EXTENSION	DATE	GO ASPECT
UniProtKB	O88623-2	Usp2	involved_in	GO:0032922	circadian regulation of gene expression	ECO:0000315	IMP	PMID:26756164		10090	UniProt	has_input(UniProtKB:Q99MJ6),occurs_in(UBERON:0001204)	20220204	P
UniProtKB	Q01147	Creb1	enables	GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	ECO:0000315	IMP	PMID:20876357		10090	ARUK-UCL	has_input(UniProtKB:E9QMD3),part_of(GO:0071300)	20190807	F
UniProtKB	A0A0G2K5W4	Crebrf	enables	GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	ECO:0000266	ISO	GO_REF:0000096	UniProtKB:Q8IUR6	10116	RGD	has_input(NCBI_Gene:9709)	20170221	F
UniProtKB	D4A811	Crebrf	enables	GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	ECO:0000266	ISO	GO_REF:0000096	UniProtKB:Q8IUR6	10116	RGD	has_input(NCBI_Gene:9709)	20170221	F
UniProtKB	Q8IUR6	CREBRF	enables	GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	ECO:0000314	IDA	PMID:16940180		9606	NTNU_SB	has_input(NCBI_Gene:9709)	20170221	F
UniProtKB	Q9UBX2	DUX4	enables	GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	ECO:0000314	IDA	PMID:17984056		9606	NTNU_SB	has_input(NCBI_Gene:18740),occurs_at(SO:0001952)	20170530	F
UniProtKB	P08154	Egr1	enables	GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	ECO:0000266	ISO	GO_REF:0000096	UniProtKB:P18146	10116	RGD	has_input(UniProtKB:P18146)|has_input(UniProtKB:P05121)|has_input(UniProtKB:P02787)	20220510	F
UniProtKB	P18146	EGR1	enables	GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	ECO:0000314	IDA	PMID:20018936		9606	BHF-UCL	has_input(UniProtKB:P18146)|has_input(UniProtKB:P05121)|has_input(UniProtKB:P02787)	20220510	F
UniProtKB	P08046	Egr1	enables	GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	ECO:0000314	IDA	PMID:20018936		10090	BHF-UCL	has_input(UniProtKB:P08046)	20220510	F
UniProtKB	P08154	Egr1	enables	GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	ECO:0000266	ISO	GO_REF:0000096	UniProtKB:P18146	10116	RGD	has_input(RNAcentral:URS000039E1E1_9606),occurs_in(CL:0000084)	20210108	F
UniProtKB	P18146	EGR1	enables	GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	ECO:0000314	IDA	PMID:19307576		9606	ARUK-UCL	has_input(RNAcentral:URS000039E1E1_9606),occurs_in(CL:0000084)	20210108	F
UniProtKB	Q00911	Egr4	enables	GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	ECO:0000266	ISO	GO_REF:0000096	UniProtKB:Q05215	10116	RGD	has_input(NCBI_Gene:7124)	20191112	F
UniProtKB	Q05215	EGR4	enables	GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	ECO:0000314	IDA	PMID:12560487		9606	NTNU_SB	has_input(NCBI_Gene:7124)	20191112	F
UniProtKB	P78545	ELF3	enables	GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	ECO:0000314	IDA	PMID:9234700		9606	GO_Central	has_input(UniProtKB:P35326)	20200519	F
UniProtKB	Q4V7E1	Elf3	enables	GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	ECO:0000266	ISO	GO_REF:0000096	UniProtKB:P78545	10116	RGD	has_input(UniProtKB:P35326)	20200519	F
UniProtKB	A0A8I6ASJ8	Elk4	enables	GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	ECO:0000266	ISO	GO_REF:0000096	UniProtKB:P28324	10116	RGD	has_input(NCBI_Gene:51141)	20191112	F
UniProtKB	B4F7D4	Elk4	enables	GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	ECO:0000266	ISO	GO_REF:0000096	UniProtKB:P28324	10116	RGD	has_input(NCBI_Gene:51141)	20191112	F
UniProtKB	P28324	ELK4	enables	GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	ECO:0000315	IMP	PMID:20145255		9606	NTNU_SB	has_input(NCBI_Gene:51141)	20191112	F
UniProtKB	A0A0G2JWE9	Erg	enables	GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	ECO:0000266	ISO	GO_REF:0000096	UniProtKB:P11308	10116	RGD	has_input(NCBI_Gene:1003)	20191112	F
UniProtKB	A0A0G2JYF1	Erg	enables	GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	ECO:0000266	ISO	GO_REF:0000096	UniProtKB:P11308	10116	RGD	has_input(NCBI_Gene:1003)	20191112	F
UniProtKB	A0A8I5ZKZ6	Erg	enables	GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	ECO:0000266	ISO	GO_REF:0000096	UniProtKB:P11308	10116	RGD	has_input(NCBI_Gene:1003)	20191112	F
UniProtKB	A0A8I5ZMT0	Erg	enables	GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	ECO:0000266	ISO	GO_REF:0000096	UniProtKB:P11308	10116	RGD	has_input(NCBI_Gene:1003)	20191112	F
UniProtKB	A0A8I6A9N1	Erg	enables	GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	ECO:0000266	ISO	GO_REF:0000096	UniProtKB:P11308	10116	RGD	has_input(NCBI_Gene:1003)	20191112	F
UniProtKB	D4A3D6	Erg	enables	GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	ECO:0000266	ISO	GO_REF:0000096	UniProtKB:P11308	10116	RGD	has_input(NCBI_Gene:1003)	20191112	F
UniProtKB	P11308	ERG	enables	GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	ECO:0000315	IMP	PMID:18195090		9606	NTNU_SB	has_input(NCBI_Gene:1003)	20191112	F
UniProtKB	Q6IMZ7	Erg	enables	GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	ECO:0000266	ISO	GO_REF:0000096	UniProtKB:P11308	10116	RGD	has_input(NCBI_Gene:1003)	20191112	F
UniProtKB	Q91XV5	Erg	enables	GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	ECO:0000266	ISO	GO_REF:0000096	UniProtKB:P11308	10116	RGD	has_input(NCBI_Gene:1003)	20191112	F
UniProtKB	P14921	ETS1	enables	GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	ECO:0000314	IDA	PMID:15001984		9606	NTNU_SB	has_input(NCBI_Gene:3371)	20191112	F
UniProtKB	P41156	Ets1	enables	GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	ECO:0000266	ISO	GO_REF:0000096	UniProtKB:P14921	10116	RGD	has_input(NCBI_Gene:3371)	20191112	F
UniProtKB	A0A0G2JX95	Etv4	enables	GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	ECO:0000266	ISO	GO_REF:0000096	UniProtKB:P43268	10116	RGD	has_input(NCBI_Gene:5743)	20191112	F
UniProtKB	A0A8I6AQD4	Etv4	enables	GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	ECO:0000266	ISO	GO_REF:0000096	UniProtKB:P43268	10116	RGD	has_input(NCBI_Gene:5743)	20191112	F
UniProtKB	B5DF72	Etv4	enables	GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	ECO:0000266	ISO	GO_REF:0000096	UniProtKB:P43268	10116	RGD	has_input(NCBI_Gene:5743)	20191112	F
UniProtKB	E9PTJ2	Etv4	enables	GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	ECO:0000266	ISO	GO_REF:0000096	UniProtKB:P43268	10116	RGD	has_input(NCBI_Gene:5743)	20191112	F
UniProtKB	P43268	ETV4	enables	GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	ECO:0000314	IDA	PMID:24983502		9606	NTNU_SB	has_input(NCBI_Gene:5743)	20191112	F
UniProtKB	P01100	FOS	enables	GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	ECO:0000314	IDA	PMID:30670568		9606	BHF-UCL	part_of(GO:1902895),has_input(RNAcentral:URS00002E99CB_9606)	20220622	F
UniProtKB	P12841	Fos	enables	GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	ECO:0000266	ISO	GO_REF:0000096	UniProtKB:P01100	10116	RGD	part_of(GO:1902895),has_input(RNAcentral:URS00002E99CB_9606)	20220622	F
UniProtKB	P55317	FOXA1	enables	GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	ECO:0000305	IC	PMID:25802280		9606	BHF-UCL	has_input(RNAcentral:URS00001DC04F_9606),part_of(GO:1902895)	20220817	F
UniProtKB	A0A8I6GKJ4	Foxc1	enables	GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	ECO:0000266	ISO	GO_REF:0000096	UniProtKB:Q12948	10116	RGD	has_input(NCBI_Gene:2308)	20191112	F
UniProtKB	Q12948	FOXC1	enables	GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	ECO:0000314	IDA	PMID:17993506		9606	NTNU_SB	has_input(NCBI_Gene:2308)	20191112	F
UniProtKB	F1LP85	Foxd2	enables	GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	ECO:0000266	ISO	GO_REF:0000096	UniProtKB:O60548	10116	RGD	has_input(NCBI_Gene:5573)	20191112	F
UniProtKB	O60548	FOXD2	enables	GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	ECO:0000314	IDA	PMID:12621056		9606	NTNU_SB	has_input(NCBI_Gene:5573)	20191112	F
UniProtKB	A0A0G2JWM4	Foxj3	enables	GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	ECO:0000266	ISO	GO_REF:0000096	UniProtKB:Q9UPW0	10116	RGD	has_input(NCBI_Gene:1869)	20191112	F
UniProtKB	A0A8I5ZT28	Foxj3	enables	GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	ECO:0000266	ISO	GO_REF:0000096	UniProtKB:Q9UPW0	10116	RGD	has_input(NCBI_Gene:1869)	20191112	F
UniProtKB	A0A8I6AQ64	Foxj3	enables	GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	ECO:0000266	ISO	GO_REF:0000096	UniProtKB:Q9UPW0	10116	RGD	has_input(NCBI_Gene:1869)	20191112	F
UniProtKB	Q9UPW0	FOXJ3	enables	GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	ECO:0000314	IDA	PMID:22740631		9606	NTNU_SB	has_input(NCBI_Gene:1869)	20191112	F
UniProtKB	Q9R1E0	Foxo1	enables	GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	ECO:0000314	IDA	PMID:17090532		10090	GO_Central	has_input(UniProtKB:Q60994)	20200519	F
UniProtKB	Q9WVH4	Foxo3	enables	GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	ECO:0000314	IDA	PMID:19933931		10090	BHF-UCL	has_input(RNAcentral:URS000069B691_10090),occurs_in(CL:0000746)	20200123	F
UniProtKB	A0A096MJF0	Foxo4	enables	GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	ECO:0000266	ISO	GO_REF:0000096	UniProtKB:P98177	10116	RGD	has_input(NCBI_Gene:3484)	20191112	F
UniProtKB	D4A433	Foxo4	enables	GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	ECO:0000266	ISO	GO_REF:0000096	UniProtKB:P98177	10116	RGD	has_input(NCBI_Gene:3484)	20191112	F
UniProtKB	P98177	FOXO4	enables	GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	ECO:0000314	IDA	PMID:11689711		9606	NTNU_SB	has_input(NCBI_Gene:3484)	20191112	F
UniProtKB	O35800	Hif1a	enables	GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	ECO:0000266	ISO	GO_REF:0000096	UniProtKB:Q16665	10116	RGD	part_of(GO:0071456),has_input(UniProtKB:Q96GC9)	20181011	F
UniProtKB	Q16665	HIF1A	enables	GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	ECO:0000315	IMP	PMID:24983504		9606	BHF-UCL	part_of(GO:0071456),has_input(UniProtKB:Q96GC9)	20181011	F
UniProtKB	Q61221	Hif1a	enables	GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	ECO:0000315	IMP	PMID:25587068		10090	BHF-UCL	occurs_in(CL:0002306),has_input(RNAcentral:URS00001FF1F0_10090),part_of(GO:0001666),part_of(GO:1902895)	20220106	F
UniProtKB	Q16665	HIF1A	enables	GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	ECO:0000314	IDA	PMID:19782034		9606	ARUK-UCL	has_input(RNAcentral:URS00005FDE16_9606)	20210108	F
UniProtKB	Q00900	Hivep2	enables	GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	ECO:0000314	IDA	PMID:10207097		10116	NTNU_SB	has_input(NCBI_Gene:6752),occurs_at(SO:0001952)	20161206	F
UniProtKB	A0A0G2JXJ1	Hnf4g	enables	GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	ECO:0000266	ISO	GO_REF:0000096	UniProtKB:Q14541	10116	RGD	has_input(NCBI_Gene:3037)	20191112	F
UniProtKB	A0A8I6G943	Hnf4g	enables	GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	ECO:0000266	ISO	GO_REF:0000096	UniProtKB:Q14541	10116	RGD	has_input(NCBI_Gene:3037)	20191112	F
UniProtKB	F1M342	Hnf4g	enables	GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	ECO:0000266	ISO	GO_REF:0000096	UniProtKB:Q14541	10116	RGD	has_input(NCBI_Gene:3037)	20191112	F
UniProtKB	Q14541	HNF4G	enables	GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	ECO:0000314	IDA	PMID:23896584		9606	NTNU_SB	has_input(NCBI_Gene:3037)	20191112	F
UniProtKB	O08656	Hoxa1	enables	GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	ECO:0000266	ISO	GO_REF:0000096	UniProtKB:P49639	10116	RGD	has_input(NCBI_Gene:595)	20191112	F
UniProtKB	P49639	HOXA1	enables	GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	ECO:0000314	IDA	PMID:15665309		9606	NTNU_SB	has_input(NCBI_Gene:595)	20191112	F
UniProtKB	P09631	Hoxa9	enables	GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	ECO:0000314	IDA	PMID:17327400		10090	NTNU_SB	has_input(NCBI_Gene:18712)	20191112	F
UniProtKB	P14653	HOXB1	enables	GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	ECO:0000314	IDA	PMID:9556594		9606	NTNU_SB	has_input(NCBI_Gene:18424),occurs_at(SO:0001952)	20160906	F
UniProtKB	P14653	HOXB1	enables	GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	ECO:0000314	IDA	PMID:9556594		9606	NTNU_SB	has_input(NCBI_Gene:18424)	20160906	F
UniProtKB	D4A426	Hoxb2	enables	GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	ECO:0000266	ISO	GO_REF:0000096	UniProtKB:P14652	10116	RGD	has_input(NCBI_Gene:18935)	20191112	F
UniProtKB	P14652	HOXB2	enables	GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	ECO:0000314	IDA	PMID:15289435		9606	NTNU_SB	has_input(NCBI_Gene:18935)	20191112	F
UniProtKB	Q20A34	Hoxb2	enables	GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	ECO:0000266	ISO	GO_REF:0000096	UniProtKB:P14652	10116	RGD	has_input(NCBI_Gene:18935)	20191112	F
UniProtKB	P09629	HOXB7	enables	GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	ECO:0000314	IDA	PMID:8756643		9606	NTNU_SB	has_input(NCBI_Gene:2247),occurs_at(SO:0001952)	20161214	F
UniProtKB	G3V815	Hoxc10	enables	GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	ECO:0000266	ISO	GO_REF:0000096	UniProtKB:Q9NYD6	10116	RGD	has_input(NCBI_Gene:3913)	20161125	F
UniProtKB	Q9NYD6	HOXC10	enables	GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	ECO:0000314	IDA	PMID:10835276		9606	NTNU_SB	has_input(NCBI_Gene:3913)	20161125	F
UniProtKB	P09017	HOXC4	enables	GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	ECO:0000314	IDA	PMID:15252056		9606	NTNU_SB	has_input(NCBI_Gene:3492),occurs_at(SO:0000165)	20170529	F
UniProtKB	P28359	Hoxd10	enables	GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	ECO:0000314	IDA	PMID:11432851		10090	NTNU_SB	has_input(NCBI_Gene:19701)	20170426	F
UniProtKB	P18867	Hoxd3	enables	GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	ECO:0000266	ISO	GO_REF:0000096	UniProtKB:P31249	10116	RGD	has_input(NCBI_Gene:3690)	20191112	F
UniProtKB	P31249	HOXD3	enables	GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	ECO:0000314	IDA	PMID:14610084		9606	NTNU_SB	has_input(NCBI_Gene:3690)	20191112	F
UniProtKB	D4ACE1	Hoxd4	enables	GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	ECO:0000266	ISO	GO_REF:0000096	UniProtKB:P09016	10116	RGD	has_input(NCBI_Gene:3235)	20161206	F
UniProtKB	P09016	HOXD4	enables	GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	ECO:0000314	IDA	PMID:1756725		9606	NTNU_SB	has_input(NCBI_Gene:3235)	20161206	F
